ApplicationName	URL	Users
MAF Dashboard	http://172.18.2.162:5025/PIVision/#/Displays/62586/RGM-MAF-V3	ORPIC\102328,ORPIC\Orpic ALL Employee,ORPIC\401527,ORPIC\104292
CORE_APP\SR Dashboard	http://172.18.2.162:5025/PIVision/#/Displays/62587/RGM-SR-V3	ORPIC\102328,ORPIC\Orpic ALL Employee,ORPIC\401527,ORPIC\104292
CudaSign	https://esign.oq.com	ORPIC\Orpic ALL Employee,ORPIC\210001,ORPIC\701136,ORPIC\701192,ORPIC\701796,ORPIC\720120,ORPIC\103634,ORPIC\103785,ORPIC\103560,ORPIC\401461,ORPIC\103920,ORPIC\103945,ORPIC\103503,ORPIC\103903,ORPIC\104056,ORPIC\104005,ORPIC\103981,ORPIC\104055,ORPIC\103923,ORPIC\103902,ORPIC\401454,ORPIC\104039,ORPIC\103984,ORPIC\103956,ORPIC\401467,ORPIC\401383,ORPIC\103106
Easy Serve	http://orpic-sla:90/Pages/orpic_default.aspx	ORPIC\102295
ePermit	https://epermit.orpic.om/	ORPIC\102295,ORPIC\800540,ORPIC\102409,ORPIC\701918,ORPIC\701919,ORPIC\701920,ORPIC\701921,ORPIC\701922,ORPIC\701923,ORPIC\701924,ORPIC\701925,ORPIC\701927,ORPIC\701928,ORPIC\701929,ORPIC\701930,ORPIC\701931,ORPIC\701932,ORPIC\701933,ORPIC\701958,ORPIC\701959,ORPIC\701960,ORPIC\701961,ORPIC\702595,ORPIC\702596,ORPIC\702597,ORPIC\702598,ORPIC\702599,ORPIC\702600,ORPIC\702601,ORPIC\702028,ORPIC\702081,ORPIC\702026,ORPIC\702078,ORPIC\702025,ORPIC\702080,ORPIC\702024,ORPIC\702594,ORPIC\702023,ORPIC\702593,ORPIC\701084,ORPIC\704098,ORPIC\706264,ORPIC\707071,ORPIC\707073,ORPIC\707076,ORPIC\707213,ORPIC\707214,ORPIC\707075,ORPIC\707078,ORPIC\707211,ORPIC\707212,ORPIC\707215,ORPIC\707209
ePermit-Training	https://epermit-training.orpic.om/login?return_url=.%2F.%2F	ORPIC\800102,ORPIC\100742,ORPIC\402101,ORPIC\402565,ORPIC\401924
eSign	https://esign.oq.com	ORPIC\102295,ORPIC\700804,ORPIC\706094,ORPIC\706250
GE APM	https://mer-app-prd2.orpic.om/meridium/	ORPIC\701142
ISETIA	https://isetia.oq.com/	ORPIC\SIEM_proxy,ORPIC\800102,ORPIC\103108,ORPIC\706310
ISETIA-OLD	https://isetia-old.oq.com	ORPIC\800102,ORPIC\103108,ORPIC\706297,ORPIC\706296,ORPIC\706293,ORPIC\706294,ORPIC\706295,ORPIC\706311
LIMS	http://lim-web-prd1:8080/LabWare-7/login.htm	ORPIC\400515,ORPIC\401398
LIMS_TEST	http://lim-web-prd1:8080/LabWare-7/login.htm
LIMS-IE	http://lim-web-prd1:8080/LabWare-7/login.htm	ORPIC\400515,ORPIC\100061
Meridium	https://mer-app-prd2.orpic.om/meridium/	ORPIC\Orpic ALL Employee,ORPIC\400202
Meridium_Test	https://mer-app-prd2.orpic.om/meridium/
Meridium-QA	http://mer-app-qua2.orpic.om/meridium/
OQ Risk MGMT	http://erm-app-prd1/
Microsoft Identity Manager	https://mimportal.oq.com/IdentityManagement/default.aspx	ORPIC\102295,ORPIC\402567,ORPIC\SysadminSascha,ORPIC\402853,ORPIC\401858,ORPIC\401818
ONE ERP	https://sapbriefcase.oq.com/irj/portal/fiori#Shell-home
OQ - ECM	http://ecm.orpic.om	ORPIC\402030
OQ - Tawreed	https://tawreed.oq.com	ORPIC\100845,ORPIC\102295,ORPIC\701136,ORPIC\701061,ORPIC\102682,ORPIC\701192,ORPIC\706262
OQ Help Desk	https://ithelpdesk.oq.com/HomePage.do?view_type=my_view	ORPIC\800102,ORPIC\100598,ORPIC\102295,ORPIC\700366,ORPIC\101497
PI Vision	https://pis-web-prd1.orpic.om/PIVision/PB/#/PBDisplays/144211	ORPIC\Orpic ALL Employee
PMO	http://pmo/	ORPIC\100232,ORPIC\100732,ORPIC\102320
Primavera	http://172.19.2.146:7001/p6	ORPIC\100845,ORPIC\101499,ORPIC\100732,ORPIC\400551,ORPIC\101401,ORPIC\400541,ORPIC\101170,ORPIC\400529,ORPIC\400653,ORPIC\101314,ORPIC\100144,ORPIC\701337
SAP BOE	http://sapds1dbs1.orpic.om:8080/BOE/CMC	ORPIC\102295
SAP DataServices	http://sapds1dbs1.orpic.om:8080/DataServices	ORPIC\102295
OQ SharePoint	https://thisisoq.sharepoint.com/
